scenario	rep	year	region	n_individuals	n_individuals_with_roh	mean_FROH_100kb	sd_FROH_100kb	median_FROH_100kb	mean_n_roh	mean_roh_length_bp	mean_individual_max_roh_bp	max_roh_bp_observed	mean_FROH_100_250kb	mean_FROH_250_500kb	mean_FROH_500kb_1Mb	mean_FROH_gt1Mb	state
restore_2km	rep008	2140	NE	20	15	0.102647538381276	0.244696313410378	0.0219912735468148	1.2	1884789.12222222	1806623.85	19358784	0.00280744002984466	0.00976208874178664	0.00780708649481197	0.0822709231148332	2140 R2
restore_2km	rep008	2140	W	20	16	0.0190672211872693	0.0171649403957828	0.0156678256108008	1.15	319434.822916667	282378.9	838585	0.00338546076977463	0.0104506711716688	0.00523108924582585	0	2140 R2
restore_2km	rep008	2140	E	20	13	0.0118598969330461	0.0128430181519793	0.00874930771436167	1	221010.487179487	161804.6	450268	0.00684456477203395	0.0050153321610122	0	0	2140 R2
restore_2km	rep008	2140	SE	20	12	0.0224513959055737	0.0395630580054584	0.010005377141308	0.8	458886.111111111	400208.9	3060193	0.00320249025015457	0.00420851046884633	0.00420383368327878	0.010836561503294	2140 R2
restore_2km	rep009	2140	NW	20	13	0.0450620116974903	0.0997115848892329	0.0155966279420558	1.25	971948.955128205	698026.55	8658706	0.0038676086967862	0.00849346869205828	0.0076313183799119	0.0250696159287339	2140 R2
restore_2km	rep009	2140	NE	20	9	0.0180255763098783	0.0243337873543126	0	0.95	388086.351851852	211287.95	1132889	0.00283062769279939	0.0103105251330353	0.00195881391759736	0.00292560956644623	2140 R2
restore_2km	rep009	2140	W	20	14	0.0178844670238584	0.0188574845835156	0.0104571479128082	1.05	322188.726190476	274126.95	773949	0.00502194060621781	0.00465352301404601	0.00820900340359461	0	2140 R2
restore_2km	rep009	2140	E	20	13	0.0220350974292451	0.0241983653186208	0.0135075173840329	1.05	425552.051282051	331225.9	1470083	0.0046700867371991	0.00523012341600682	0.00574791924361167	0.0063869680324275	2140 R2
restore_2km	rep009	2140	SE	20	15	0.0159248086507776	0.0139367064124205	0.0146384421237327	1.05	299821.222222222	234883.75	602361	0.00495607566093878	0.00790787884196901	0.00306085414786978	0	2140 R2
restore_4km	rep001	2140	NW	20	14	0.0409862408503765	0.0695093960375721	0.0171360677060132	1.1	814759.952380952	655418.75	5676452	0.00303162359246444	0.00954711671650504	0.00587774329885837	0.0225297572425486	2140 R4
restore_4km	rep001	2140	NE	20	9	0.0329810972642793	0.102480146714966	0	0.8	722558.277777778	494313.95	7514871	0.00468113696659918	0.00342167164069023	0.0017306379140679	0.023147650742922	2140 R4
restore_4km	rep001	2140	W	20	12	0.0127192659652056	0.0138817711364401	0.00929939169765457	0.75	357104.666666667	223664.55	952328	0.00363687350247957	0.00358043960131578	0.00550195286141029	0	2140 R4
restore_4km	rep001	2140	E	20	7	0.0348561396484555	0.119218216804714	0	0.45	1746591.85714286	641138.3	10312436	0.00137193543360517	0.00367081957994253	0	0.0298133846349078	2140 R4
restore_4km	rep001	2140	SE	20	12	0.0372125139109192	0.0997394208265183	0.00822497058480066	0.9	1025634.48611111	646198.75	8764742	0.00418722605877028	0.00390894827898681	0.00648198347769907	0.022634356095463	2140 R4
restore_4km	rep002	2140	NW	20	14	0.0433761350889124	0.0749324790159419	0.0128632262568945	0.9	958527.214285714	786900.75	4453429	0.00309073805874094	0.00573120315693097	0.00393756163298374	0.0306166322402567	2140 R4
restore_4km	rep002	2140	NE	20	12	0.0607651598223679	0.204409833709984	0.00904298195773084	0.9	1747493.75	1105818.6	17851234	0.00325852129182166	0.00700840204799306	0	0.0504982364825532	2140 R4
restore_4km	rep002	2140	W	20	12	0.0164747738421676	0.0212986422703301	0.011104357188865	1.15	276130.308333333	201944.2	825013	0.00736013196024355	0.00539346228246039	0.00372117959946366	0	2140 R4
restore_4km	rep002	2140	E	20	10	0.025319597993739	0.0470473786660062	0.00364358008012669	0.8	688779.725	397688.85	3398710	0.00283566085407556	0.00419575583388326	0.006107339640357	0.0121808416654232	2140 R4
