state	scenario	rep	year	region	roh_class	FROH_contribution
2140 R4	restore_4km	rep009	2140	NW	250-500kb	0.00750843848611806
2140 R4	restore_4km	rep009	2140	NE	250-500kb	0.00753496781694932
2140 R4	restore_4km	rep009	2140	W	250-500kb	0.0067216409768847
2140 R4	restore_4km	rep009	2140	E	250-500kb	0.00617279914370665
2140 R4	restore_4km	rep009	2140	SE	250-500kb	0.00764876787747121
2140 R6	restore_6km	rep001	2140	NW	250-500kb	0.00987128948972112
2140 R6	restore_6km	rep001	2140	NE	250-500kb	0.00576220784358143
2140 R6	restore_6km	rep001	2140	W	250-500kb	0.00428041830657597
2140 R6	restore_6km	rep001	2140	E	250-500kb	0.00602082814587171
2140 R6	restore_6km	rep001	2140	SE	250-500kb	0.0090377396194083
2140 R6	restore_6km	rep002	2140	NW	250-500kb	0.00852258045556075
2140 R6	restore_6km	rep002	2140	NE	250-500kb	0.0039307052742417
2140 R6	restore_6km	rep002	2140	W	250-500kb	0.00521100050207656
2140 R6	restore_6km	rep002	2140	E	250-500kb	0.00817111395144273
2140 R6	restore_6km	rep002	2140	SE	250-500kb	0.00634808692612988
2140 R6	restore_6km	rep003	2140	NW	250-500kb	0.0114092391900272
2140 R6	restore_6km	rep003	2140	NE	250-500kb	0.00478788698592869
2140 R6	restore_6km	rep003	2140	W	250-500kb	0.00622405784979735
2140 R6	restore_6km	rep003	2140	E	250-500kb	0.00149906859400848
2140 R6	restore_6km	rep003	2140	SE	250-500kb	0.0059470248025614
2140 R6	restore_6km	rep004	2140	NW	250-500kb	0.00960740618964693
2140 R6	restore_6km	rep004	2140	NE	250-500kb	0.00551798718586579
2140 R6	restore_6km	rep004	2140	W	250-500kb	0.00399750247771503
2140 R6	restore_6km	rep004	2140	E	250-500kb	0.00402187289483317
2140 R6	restore_6km	rep004	2140	SE	250-500kb	0.00161724846034073
2140 R6	restore_6km	rep005	2140	NW	250-500kb	0.00921985277138152
2140 R6	restore_6km	rep005	2140	NE	250-500kb	0.00340455011208016
2140 R6	restore_6km	rep005	2140	W	250-500kb	0.00581101582106717
2140 R6	restore_6km	rep005	2140	E	250-500kb	0.00640981481426963
2140 R6	restore_6km	rep005	2140	SE	250-500kb	0.00430954814710714
2140 R6	restore_6km	rep008	2140	NW	250-500kb	0.00751436775153114
2140 R6	restore_6km	rep008	2140	NE	250-500kb	0.00842523823845243
2140 R6	restore_6km	rep008	2140	W	250-500kb	0.00224495520486464
2140 R6	restore_6km	rep008	2140	E	250-500kb	0.00659419792456084
2140 R6	restore_6km	rep008	2140	SE	250-500kb	0.00532205801910163
2140 R6	restore_6km	rep009	2140	NW	250-500kb	0.00755292605374487
2140 R6	restore_6km	rep009	2140	NE	250-500kb	0.00966486015171585
