comparison	scenario	rep	pair	start_fst	end_fst	delta_fst
2020_to_2140	restore_2km	rep001	W-SE	0.007104840600174455	0.005439053195043651	-0.001665787405130804
2020_to_2140	restore_4km	rep001	W-SE	0.007104840600174455	0.004567871576827867	-0.0025369690233465877
2020_to_2140	restore_6km	rep001	W-SE	0.007104840600174455	0.002522011234954766	-0.004582829365219689
2140_restoration_vs_statusquo	restore_2km	rep001	W-SE	0.0051857751747741414	0.005439053195043651	0.00025327802026950917
2140_restoration_vs_statusquo	restore_4km	rep001	W-SE	0.0051857751747741414	0.004567871576827867	-0.0006179035979462745
2140_restoration_vs_statusquo	restore_6km	rep001	W-SE	0.0051857751747741414	0.002522011234954766	-0.0026637639398193755
1900_to_2020	shared_history	rep001	W-NEW01	0.7798575938231487	0.782047752397803	0.0021901585746543217
2020_to_2140	status_quo	rep001	W-NEW01	0.782047752397803	0.7834455126962218	0.0013977602984187598
2020_to_2140	restore_2km	rep001	W-NEW01	0.782047752397803	0.7820302855484477	-1.7466849355329828e-05
2020_to_2140	restore_4km	rep001	W-NEW01	0.782047752397803	0.7831109113722781	0.0010631589744750647
2020_to_2140	restore_6km	rep001	W-NEW01	0.782047752397803	0.7823779822625672	0.0003302298647641644
2140_restoration_vs_statusquo	restore_2km	rep001	W-NEW01	0.7834455126962218	0.7820302855484477	-0.0014152271477740896
2140_restoration_vs_statusquo	restore_4km	rep001	W-NEW01	0.7834455126962218	0.7831109113722781	-0.00033460132394369513
2140_restoration_vs_statusquo	restore_6km	rep001	W-NEW01	0.7834455126962218	0.7823779822625672	-0.0010675304336545954
1900_to_2020	shared_history	rep001	W-NEW02	0.020454144922756018	0.029483120356132757	0.009028975433376739
2020_to_2140	status_quo	rep001	W-NEW02	0.029483120356132757	0.042487697723914766	0.01300457736778201
2020_to_2140	restore_2km	rep001	W-NEW02	0.029483120356132757	0.041077311779399196	0.01159419142326644
2020_to_2140	restore_4km	rep001	W-NEW02	0.029483120356132757	0.04298220050034292	0.013499080144210161
2020_to_2140	restore_6km	rep001	W-NEW02	0.029483120356132757	0.04019232695208821	0.01070920659595545
2140_restoration_vs_statusquo	restore_2km	rep001	W-NEW02	0.042487697723914766	0.041077311779399196	-0.00141038594451557
2140_restoration_vs_statusquo	restore_4km	rep001	W-NEW02	0.042487697723914766	0.04298220050034292	0.0004945027764281518
2140_restoration_vs_statusquo	restore_6km	rep001	W-NEW02	0.042487697723914766	0.04019232695208821	-0.002295370771826559
1900_to_2020	shared_history	rep001	E-SE	0.002724283673504499	0.009292960430578118	0.006568676757073619
2020_to_2140	status_quo	rep001	E-SE	0.009292960430578118	0.004521172966237615	-0.004771787464340503
2020_to_2140	restore_2km	rep001	E-SE	0.009292960430578118	0.005041834953711883	-0.0042511254768662346
2020_to_2140	restore_4km	rep001	E-SE	0.009292960430578118	0.004221081403063899	-0.005071879027514219
2020_to_2140	restore_6km	rep001	E-SE	0.009292960430578118	0.003893297564498467	-0.00539966286607965
2140_restoration_vs_statusquo	restore_2km	rep001	E-SE	0.004521172966237615	0.005041834953711883	0.0005206619874742685
2140_restoration_vs_statusquo	restore_4km	rep001	E-SE	0.004521172966237615	0.004221081403063899	-0.0003000915631737157
2140_restoration_vs_statusquo	restore_6km	rep001	E-SE	0.004521172966237615	0.003893297564498467	-0.0006278754017391476
1900_to_2020	shared_history	rep001	E-NEW01	0.7809331151943021	0.7818797836482176	0.0009466684539155557
2020_to_2140	status_quo	rep001	E-NEW01	0.7818797836482176	0.7833318900890511	0.0014521064408334894
2020_to_2140	restore_2km	rep001	E-NEW01	0.7818797836482176	0.7828781580006519	0.000998374352434217
