comparison	scenario	rep	region	start_pi	end_pi	delta_pi	retention	percent_change
2020_to_2140	restore_6km	rep002	NEW01	3.931306698939569e-05	3.9049521416538925e-05	-2.6354557285676263e-07	0.9932962347372223	-0.6703765262777717
2140_restoration_vs_statusquo	restore_2km	rep002	NEW01	3.7943748341326893e-05	3.842724918094352e-05	4.83500839616628e-07	1.0127425692176546	1.2742569217654598
2140_restoration_vs_statusquo	restore_4km	rep002	NEW01	3.7943748341326893e-05	3.8941428163301375e-05	9.97679821974482e-07	1.026293654833459	2.6293654833458913
2140_restoration_vs_statusquo	restore_6km	rep002	NEW01	3.7943748341326893e-05	3.9049521416538925e-05	1.1057730752120313e-06	1.02914243119222	2.914243119221993
1900_to_2020	shared_history	rep002	NEW02	0.00021887501419573546	0.0002150613977064018	-3.813616489333648e-06	0.9825762821610913	-1.7423717838908725
2020_to_2140	status_quo	rep002	NEW02	0.0002150613977064018	0.00020967412552885833	-5.387272177543478e-06	0.974950073630145	-2.5049926369855036
2020_to_2140	restore_2km	rep002	NEW02	0.0002150613977064018	nan	nan	nan	nan
2020_to_2140	restore_4km	rep002	NEW02	0.0002150613977064018	0.00020406971199335696	-1.0991685713044848e-05	0.9488904757884513	-5.1109524211548685
2020_to_2140	restore_6km	rep002	NEW02	0.0002150613977064018	0.00021124950283885651	-3.8118948675452935e-06	0.9822753180803315	-1.7724681919668472
2140_restoration_vs_statusquo	restore_2km	rep002	NEW02	0.00020967412552885833	nan	nan	nan	nan
2140_restoration_vs_statusquo	restore_4km	rep002	NEW02	0.00020967412552885833	0.00020406971199335696	-5.60441353550137e-06	0.9732708386341642	-2.6729161365835807
2140_restoration_vs_statusquo	restore_6km	rep002	NEW02	0.00020967412552885833	0.00021124950283885651	1.5753773099981842e-06	1.0075134559689929	0.7513455968992888
1900_to_2020	shared_history	rep003	NW	0.0002194909569394925	0.00021961299677589302	1.2203983640053217e-07	1.0005560130499325	0.05560130499324689
2020_to_2140	status_quo	rep003	NW	0.00021961299677589302	0.0002178028416800671	-1.8101550958259235e-06	0.9917575229043792	-0.8242477095620759
2020_to_2140	restore_2km	rep003	NW	0.00021961299677589302	0.00021675657306186578	-2.8564237140272445e-06	0.9869933758203658	-1.3006624179634163
2020_to_2140	restore_4km	rep003	NW	0.00021961299677589302	0.00021675906145637408	-2.8539353195189464e-06	0.9870047066365963	-1.299529336340366
2020_to_2140	restore_6km	rep003	NW	0.00021961299677589302	0.00021802012770969948	-1.5928690661935426e-06	0.992746927141935	-0.725307285806498
2140_restoration_vs_statusquo	restore_2km	rep003	NW	0.0002178028416800671	0.00021675657306186578	-1.046268618201321e-06	0.9951962581840957	-0.4803741815904261
2140_restoration_vs_statusquo	restore_4km	rep003	NW	0.0002178028416800671	0.00021675906145637408	-1.0437802236930229e-06	0.9952076831705151	-0.47923168294848884
2140_restoration_vs_statusquo	restore_6km	rep003	NW	0.0002178028416800671	0.00021802012770969948	2.1728602963238088e-07	1.0009976271565435	0.09976271565435013
1900_to_2020	shared_history	rep003	NE	0.0002187237501912905	0.00021675377361804783	-1.969976573242677e-06	0.9909933120133512	-0.9006687986648831
2020_to_2140	status_quo	rep003	NE	0.00021675377361804783	0.00021442521831756186	-2.3285553004859683e-06	0.9892571406641841	-1.0742859335815869
2020_to_2140	restore_2km	rep003	NE	0.00021675377361804783	0.00021667776908001945	-7.600453802837723e-08	0.9996493507967141	-0.03506492032858688
2020_to_2140	restore_4km	rep003	NE	0.00021675377361804783	0.0002170373493199444	2.835757018965657e-07	1.0013082849593025	0.13082849593024637
2020_to_2140	restore_6km	rep003	NE	0.00021675377361804783	0.00021813112167862487	1.3773480605770477e-06	1.0063544363615284	0.6354436361528437
2140_restoration_vs_statusquo	restore_2km	rep003	NE	0.00021442521831756186	0.00021667776908001945	2.252550762457591e-06	1.0105050645634488	1.0505064563448796
2140_restoration_vs_statusquo	restore_4km	rep003	NE	0.00021442521831756186	0.0002170373493199444	2.612131002382534e-06	1.0121820139574906	1.2182013957490634
2140_restoration_vs_statusquo	restore_6km	rep003	NE	0.00021442521831756186	0.00021813112167862487	3.705903361063016e-06	1.017282964150115	1.7282964150115099
1900_to_2020	shared_history	rep003	W	0.0002190903977609597	0.00021775579366300083	-1.3346040979588826e-06	0.9939084318089786	-0.6091568191021413
2020_to_2140	status_quo	rep003	W	0.00021775579366300083	0.0002165864652559969	-1.1693284070039313e-06	0.9946300927872735	-0.5369907212726455
2020_to_2140	restore_2km	rep003	W	0.00021775579366300083	0.00021792242929048942	1.6663562748858891e-07	1.000765240844735	0.0765240844734949
2020_to_2140	restore_4km	rep003	W	0.00021775579366300083	0.00021822094982683755	4.6515616383672087e-07	1.0021361367980712	0.2136136798071231
2020_to_2140	restore_6km	rep003	W	0.00021775579366300083	0.00021796331419093282	2.0752052793198924e-07	1.0009529965859514	0.09529965859513823
2140_restoration_vs_statusquo	restore_2km	rep003	W	0.0002165864652559969	0.00021792242929048942	1.3359640344925202e-06	1.0061682711009363	0.6168271100936318
2140_restoration_vs_statusquo	restore_4km	rep003	W	0.0002165864652559969	0.00021822094982683755	1.6344845708406522e-06	1.0075465683827878	0.7546568382787777
2140_restoration_vs_statusquo	restore_6km	rep003	W	0.0002165864652559969	0.00021796331419093282	1.3768489349359205e-06	1.0063570405163986	0.6357040516398627
