sit_uid	site	site_category	total_sum	lat	lon	county	datasource	clc_code	clc_name	habitat_hilda	presence	in_study_region	clc_index_extracted	hilda_code	hilda_class	clc_code_extracted	clc_name_extracted
317	Kocktorp, Ängsö	T	12	6601451.28900424	606199.937364614	Västmanlands län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	22	cropland	211	Non-irrigated arable land
2774	Askö Sandtorpet	T	3	6600008.9803003	583647.114692454	Västmanlands län	Länsstyrelsen i Västmanlands län	231	Pastures	Pasture/Rangeland	1	FALSE	18	22	cropland	231	Pastures
254	Sandtorpet, Askö	P	3	6599695.22538764	583742.896397079	Södermanlands län	Svensk Dagfjärilsövervakning, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1	FALSE	21	22	cropland	243	Land principally occupied by agriculture with significant areas of natural vegetation
2753	Sörbyfallet Grythyttan	P	6	6597422.8795286	479227.188488277	Örebro län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
3789	Uddevik	T	13	6596981.93319017	426964.988296604	Värmlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
918	Alstrumsängen	T	15	6596483.23336165	419884.181167982	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	231	Pastures	Pasture/Rangeland	1	FALSE	18	44	forest	231	Pastures
1090	Timmerkajen	P	2	6595652.72568883	558384.995811562	Västmanlands län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	11	urban	211	Non-irrigated arable land
701	Ubbyslingan	T	5	6594919.51891155	683015.127064086	Stockholms län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	44	forest	211	Non-irrigated arable land
428	Viggbyholm	P	10	6594385.06803884	676787.583462579	Stockholms län	Svensk Dagfjärilsövervakning, LU	112	Discontinuous urban fabric	Urban	1	FALSE	2	11	urban	112	Discontinuous urban fabric
4262	Pommerndalen	T	2	6593090.26867472	665160.221214938	Stockholms län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
154	Hemdalsvägen	T	6	6593020.36970151	521760.387942324	Örebro län	Svensk Dagfjärilsövervakning, LU	324	Transitional woodland-shrub	Unmanaged grass/shrubland	1	FALSE	29	44	forest	324	Transitional woodland-shrub
3883	Soldattorpet Wärnersborg	P	3	6592748.65238441	604738.856493374	Södermanlands län	Svensk Dagfjärilsövervakning, LU	313	Mixed forest	Forest	1	FALSE	25	44	forest	313	Mixed forest
