sit_uid	radius_m	land_cells	p_cropland	p_forest	p_urban	p_grassland	p_other	buffer_cells	terrestrial_frac
61	5000	7834	0.043528210365075315	0.7674240490171049	0	0.02131733469491958	0.16773040592290017	7834	1
61	10000	31328	0.04267747701736466	0.7710993360572013	0.00252170582226762	0.016598569969356484	0.16710291113381	31328	1
62	500	66	0.5606060606060606	0.09090909090909091	0.3484848484848485	0	0	78	0.8461538461538461
62	1000	215	0.2837209302325581	0.4511627906976744	0.2651162790697674	0	0	314	0.6847133757961783
62	2000	748	0.3382352941176471	0.5387700534759359	0.12299465240641712	0	0	1257	0.5950676213206046
62	5000	4233	0.5053153791637137	0.37278525868178597	0.08764469643278998	0.01819040869359792	0.01606425702811245	7829	0.5406820794482053
62	10000	16857	0.43762235273180283	0.39597793201637305	0.09681437978287952	0.04650886871922644	0.02307646674971822	31298	0.5385967154450764
63	500	78	0.16666666666666666	0.5384615384615384	0	0.2948717948717949	0	78	1
63	1000	316	0.1930379746835443	0.4240506329113924	0	0.3829113924050633	0	316	1
63	2000	1254	0.35007974481658694	0.2727272727272727	0.01674641148325359	0.36044657097288674	0	1254	1
