sit_uid	site	site_category	total_sum	lat	lon	county	datasource	clc_code	clc_name	habitat_hilda	presence
4077	Krabbäng Moholm	T	860	6496182.90141423	444552.750845092	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	112.0	Discontinuous urban fabric	Urban	0
3190	Kulan, Kulla	P	16	6494907.61547884	509061.09063508	Östergötlands län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
316	Brattefors 10	P	37	6494210.98671224	300078.778475827	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
1038	Medelplana 1930	T	14	6493821.84671195	406187.258086541	Västra Götalands län	Länsstyrelsen i Västra Götalands län	211.0	Non-irrigated arable land	Cropland	0
2871	Hageby, Norrköping	T	100	6493196.43264222	569013.71616607	Östergötlands län	Svensk Dagfjärilsövervakning, LU	112.0	Discontinuous urban fabric	Urban	0
3185	Åkaregatan 3	P	89	6492763.66497991	569938.655067777	Östergötlands län	Svensk Dagfjärilsövervakning, LU	112.0	Discontinuous urban fabric	Urban	0
948	Forsa	P	109	6492526.38522165	464772.342998345	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
583	Tolsjö	T	41	6492343.57219982	390462.535869391	Västra Götalands län	Trafikverket	211.0	Non-irrigated arable land	Cropland	0
1059	Österplana 6084	T	59	6492234.12474619	407729.617080903	Västra Götalands län	Länsstyrelsen i Västra Götalands län	242.0	Complex cultivation patterns	Cropland	0
3296	Bikullen	T	155	6491336.49901743	317697.111543283	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
878	Gustavslund, 300 m SV	T	36	6487354.11474564	556856.384498169	Östergötlands län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
